name,url,description,language,stars
,,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/飞书/钉钉/Telegram/邮件/ntfy推送，30秒网页部署，1分钟手机通知，无需编程。支持Docker部署⭐ 让算法为你服务，用AI理解热点,Python,18818
,,"An open-source, code-first Go toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Go,3930
,,所有小初高、大学PDF教材。,Roff,57313
,,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,Python,42536
,,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,Shell,89417
,,The Cloud Native Application Proxy,Go,58582
,,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""",Python,23590
,,A list of open source games.,Unknown,6681
,,verl: Volcano Engine Reinforcement Learning for LLMs,Python,16021
,,"Open-Source Memory Engine for LLMs, AI Agents & Multi-Agent Systems",Python,4955
,,Curated coding interview preparation materials for busy software engineers,TypeScript,133565
,,"Send a phone call from AI agent, in an API call. Or, directly call the bot from the configured phone number!",Python,3591
,,Run Windows Subsystem For Android on your Windows 10 and Windows 11 PC using prebuilt binaries with Google Play Store (MindTheGapps) and/or Magisk or KernelSU (root solutions) built in.,Python,13497
,,"Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF",JavaScript,12233
,,Collection of publicly available IPTV channels from all over the world,TypeScript,101624
,,all of the workflows of n8n i could find (also from the site itself),Python,41536
,,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",Go,39402
,,Frame profiler,C++,13623
